Pairs,Hostel with floor,Room No
"['106118026', '106118106']",Aquamarine A First,51
"['111118046', '111118052']",Aquamarine B First,45
"['102118024', '110118060']",Aquamarine B Second,116
"['101118035', '106118024']",Aquamarine B First,44
"['112118037', '112118055']",Aquamarine A First,50
"['106118100', '106118109']",Aquamarine B First,43
"['106118015', '106118022']",Aquamarine B First,42
"['108118067', '108118097']",Aquamarine A First,49
"['112118008', '112118040']",Aquamarine B First,41
"['106118099', '114118007']",Aquamarine A First,48
"['110118004', '110118034']",Aquamarine A First,47
"['108118093', '114118028']",Aquamarine B First,40
"['111118065', '114118022']",Aquamarine B Second,115
"['106118002', '106118037']",Aquamarine A First,46
"['112118017', '112118033']",Aquamarine A Second,120
"['114118001', '114118031']",Aquamarine A First,45
"['102118008', '114118101']",Aquamarine B Second,114
"['110118074', '111118087']",Aquamarine A First,44
"['112118021', '112118027']",Aquamarine A First,43
"['103118013', '103118082']",Aquamarine A First,42
"['106118113', '106118114']",Aquamarine B Second,113
"['114118024', '114118075']",Aquamarine A First,41
"['108118094', '111118088']",Aquamarine B Third,165
"['108118046', '110118088']",Aquamarine B Ground,39
"['110118101', '110118102']",Aquamarine A First,40
"['106118021', '106118080']",Aquamarine A Second,119
"['111118089', '111118103']",Aquamarine A Second,118
"['102118005', '110118084']",Aquamarine B Ground,38
"['108118052', '110118104']",Aquamarine A Second,117
"['108118026', '108118045']",Aquamarine A Second,116
"['108118053', '111118056']",Aquamarine A Second,115
"['108118075', '114118054']",Aquamarine B Ground,37
"['107118040', '107118052']",Aquamarine B Second,112
"['101118023', '101118031']",Aquamarine B Second,111
"['112118003', '112118062']",Aquamarine B Second,110
"['110118097', '111118057']",Aquamarine A Second,114
"['112118018', '112118061']",Aquamarine B Ground,36
"['103118049', '106118007']",Aquamarine B Second,109
"['106118083', '107118093']",Aquamarine B Second,108
"['107118011', '107118074']",Aquamarine A Second,113
"['107118092', '110118052']",Aquamarine B Second,107
"['106118081', '110118073']",Aquamarine B Second,106
"['112118020', '112118056']",Aquamarine B Second,105
"['111118004', '111118012']",Aquamarine B Ground,35
"['106118003', '114118061']",Aquamarine A Second,112
"['106118072', '106118077']",Aquamarine B Second,104
"['111118054', '111118084']",Aquamarine A Second,111
"['103118075', '108118044']",Aquamarine B Ground,34
"['101118034', '101118038']",Aquamarine B Second,103
"['112118044', '114118091']",Aquamarine B Second,101
"['107118013', '111118081']",Aquamarine B Second,102
"['106118014', '111118031']",Aquamarine A Ground,39
"['106118017', '106118087']",Aquamarine B Second,100
"['107118083', '107118101']",Aquamarine B Second,99
"['103118005', '111118013']",Aquamarine B Third,164
"['103118007', '106118085']",Aquamarine B Second,98
"['110118041', '110118064']",Aquamarine A Second,110
"['107118015', '110118029']",Aquamarine A Second,109
"['106118001', '112118005']",Aquamarine A Second,108
"['110118014', '110118082']",Aquamarine B Second,97
"['102118061', '114118083']",Aquamarine A Second,107
"['108118095', '108118101']",Aquamarine A Second,106
"['107118060', '111118122']",Aquamarine B Second,96
"['112118013', '112118024']",Aquamarine B Second,95
"['111118015', '111118104']",Aquamarine A Second,105
"['114118064', '114118074']",Aquamarine B Second,94
"['111118112', '111118124']",Aquamarine B Second,93
"['114118025', '114118085']",Aquamarine A Second,104
"['106118041', '110118063']",Aquamarine B Second,92
"['110118071', '114118040']",Aquamarine B Second,91
"['106118094', '108118088']",Aquamarine A Second,103
"['106118075', '106118117']",Aquamarine B Second,90
"['107118110', '108118071']",Aquamarine A Second,102
"['107118049', '107118082']",Aquamarine A Second,101
"['106118056', '106118063']",Aquamarine A Ground,38
"['103118014', '103118044']",Aquamarine A Second,100
"['114118005', '114118073']",Aquamarine A Second,99
"['101118013', '101118017']",Aquamarine B Second,89
"['102118038', '102118042']",Aquamarine A Second,98
"['103118050', '108118003']",Aquamarine A Ground,37
"['110118090', '110118103']",Aquamarine B Second,88
"['107118063', '107118111']",Aquamarine A Second,97
"['111118062', '111118093']",Aquamarine A Second,96
"['107118061', '110118099']",Aquamarine B Second,87
"['101118012', '101118048']",Aquamarine B Second,86
"['106118049', '107118112']",Aquamarine B Second,85
"['114118030', '114118068']",Aquamarine A Second,95
"['111118045', '111118105']",Aquamarine A Second,94
"['108118024', '108118048']",Aquamarine B Ground,33
"['111118025', '111118075']",Aquamarine B Second,84
"['101118005', '101118021']",Aquamarine B Second,83
"['106118107', '108118010']",Aquamarine B Second,82
"['108118001', '108118011']",Aquamarine A Second,93
"['110118080', '111118011']",Aquamarine A Second,92
"['110118087', '114118082']",Aquamarine B Ground,32
"['110118079', '114118012']",Aquamarine A Second,91
"['102118003', '102118036']",Aquamarine B Third,163
"['110118015', '110118086']",Aquamarine B Ground,31
"['103118012', '106118036']",Aquamarine B Ground,30
"['101118040', '101118050']",Aquamarine B Third,162
"['107118079', '111118058']",Aquamarine B Ground,29
"['106118006', '106118062']",Aquamarine A Second,90
"['101118027', '108118019']",Aquamarine A Ground,36
"['103118025', '103118059']",Aquamarine B Ground,28
"['110118007', '111118029']",Aquamarine B Ground,27
"['112118064', '112118065']",Aquamarine A Second,89
"['102118002', '107118054']",Aquamarine B Third,161
"['106118042', '107118004']",Aquamarine B Ground,26
"['110118022', '111118097']",Aquamarine A Second,88
"['106118032', '108118031']",Aquamarine B Ground,25
"['102118057', '102118067']",Aquamarine A Second,87
"['102118019', '108118058']",Aquamarine B Ground,24
"['103118088', '110118043']",Aquamarine A Ground,35
"['111118008', '112118001']",Aquamarine A Second,86
"['107118057', '107118081']",Aquamarine B Ground,23
"['110118003', '112118039']",Aquamarine A Second,85
"['108118085', '112118032']",Aquamarine A Second,84
"['102118058', '114118018']",Aquamarine A Second,83
"['103118004', '110118085']",Aquamarine A Second,82
"['111118083', '111118091']",Aquamarine B Ground,22
"['103118047', '112118051']",Aquamarine B Ground,21
"['107118006', '108118007']",Aquamarine B Ground,20
"['106118018', '111118053']",Aquamarine A Ground,34
"['102118007', '111118123']",Aquamarine A Third,165
"['108118002', '110118010']",Aquamarine B Ground,19
"['107118024', '107118075']",Zircon C,92
"['102118011', '103118084']",Aquamarine A Ground,33
"['102118050', '111118108']",Aquamarine B Third,160
"['110118046', '112118060']",Aquamarine B Third,159
"['107118014', '111118002']",Aquamarine B Ground,18
"['106118010', '108118005']",Aquamarine A Ground,32
"['102118049', '110118061']",Aquamarine B Third,158
"['106118060', '106118064']",Aquamarine B Ground,17
"['107118065', '107118070']",Aquamarine A Ground,31
"['114118051', '114118065']",Aquamarine A Third,164
"['108118089', '110118002']",Aquamarine B Ground,16
"['106118030', '114118072']",Aquamarine B Third,157
"['103118042', '108118032']",Aquamarine B Third,156
"['107118071', '107118084']",Aquamarine B Third,155
"['106118102', '111118010']",Aquamarine B Third,154
"['101118009', '101118028']",Aquamarine B Third,153
"['103118027', '110118044']",Aquamarine B Ground,15
"['106118110', '107118088']",Aquamarine A Ground,30
"['102118014', '102118035']",Aquamarine A Ground,29
"['103118073', '107118021']",Aquamarine B Third,152
"['102118051', '108118072']",Aquamarine B Third,151
"['106118061', '110118047']",Aquamarine B Third,150
"['108118006', '108118091']",Aquamarine B Ground,14
"['103118064', '106118008']",Aquamarine B Ground,13
"['111118076', '111118113']",Aquamarine A Ground,28
"['103118091', '107118029']",Aquamarine B Ground,12
"['103118065', '103118001']",Aquamarine B Ground,11
"['107118038', '107118056']",Aquamarine B Ground,10
"['103118085', '103118101']",Aquamarine B Ground,9
"['107118108', '114118004']",Aquamarine A Ground,27
"['112118002', '112118046']",Aquamarine B Ground,8
"['107118033', '107118059']",Aquamarine B Ground,7
"['112118019', '112118022']",Aquamarine B Third,149
"['108118055', '111118037']",Aquamarine A Ground,26
"['102118030', '102118037']",Aquamarine B Third,148
"['114118079', '114118081']",Aquamarine B Ground,6
"['107118076', '107118104']",Aquamarine B Ground,5
"['108118040', '110118021']",Aquamarine B Ground,4
"['103118036', '112118014']",Aquamarine B Ground,3
"['102118027', '103118090']",Aquamarine A Third,163
"['103118095', '110118026']",Aquamarine B Ground,2
"['103118052', '103118078']",Aquamarine B Third,147
"['106118035', '106118111']",Aquamarine A Ground,25
"['106118076', '114118038']",Aquamarine B Third,146
"['108118059', '114118020']",Aquamarine B Ground,1
"['108118068', '108118069']",Aquamarine A Ground,24
"['107118009', '107118010']",Aquamarine A Ground,23
"['108118033', '111118027']",Aquamarine A Ground,22
"['108118060', '108118100']",Aquamarine A Third,162
"['102118028', '106118029']",Aquamarine A Ground,21
"['111118072', '114118052']",Aquamarine A Ground,20
"['103118077', '111118080']",Aquamarine B Third,145
"['103118043', '103118063']",Aquamarine B Third,144
"['102118068', '110118091']",Aquamarine A Third,161
"['103118023', '103118087']",Aquamarine A Ground,19
"['111118049', '111118111']",Aquamarine B Third,143
"['103118083', '103118102']",Aquamarine B Third,142
"['107118008', '107118053']",Aquamarine A Third,160
"['106118039', '108118090']",Aquamarine A Ground,18
"['106118067', '106118079']",Aquamarine A Ground,17
"['108118063', '112118048']",Aquamarine A Ground,16
"['106118086', '114118059']",Aquamarine A Ground,15
"['111118066', '111118121']",Aquamarine B Third,141
"['103118035', '103118056']",Aquamarine A Ground,14
"['103118061', '114118056']",Aquamarine A Ground,13
"['111118019', '111118022']",Aquamarine A Ground,12
"['106118070', '108118110']",Aquamarine A Ground,11
"['111118007', '111118024']",Aquamarine B Third,140
"['106118050', '106118092']",Aquamarine B Third,139
"['106118023', '106118057']",Aquamarine A Ground,10
"['101118029', '106118095']",Aquamarine B Third,138
"['108118077', '111118095']",Aquamarine A Ground,9
"['114118076', '114118098']",Aquamarine B Third,137
"['108118076', '111118017']",Aquamarine A Ground,8
"['101118022', '101118025']",Aquamarine B Third,136
"['102118029', '114118021']",Aquamarine A Ground,7
"['103118097', '112118030']",Aquamarine A Ground,6
"['103118096', '106118016']",Aquamarine B Third,135
"['103118020', '103118072']",Aquamarine A Ground,5
"['102118055', '110118035']",Aquamarine A Ground,4
"['103118071', '103118076']",Aquamarine B Third,134
"['110118016', '110118069']",Aquamarine A Ground,3
"['102118054', '114118043']",Aquamarine A Ground,2
"['108118022', '108118064']",Aquamarine B Third,133
"['103118032', '111118078']",Aquamarine B Third,132
"['103118018', '111118028']",Aquamarine B Third,131
"['107118003', '107118102']",Aquamarine B Third,130
"['110118053', '110118065']",Aquamarine A Third,159
"['102118025', '102118047']",Aquamarine A Third,158
"['110118001', '114118002']",Aquamarine A Third,157
"['110118045', '114118035']",Aquamarine A Third,156
"['108118049', '108118061']",Aquamarine A Third,155
"['103118060', '106118059']",Aquamarine B Third,129
"['107118046', '114118042']",Aquamarine B Third,128
"['114118050', '114118058']",Aquamarine B Third,127
"['101118047', '110118093']",Aquamarine B Third,126
"['110118023', '111118035']",Aquamarine A Third,154
"['101118030', '101118032']",Aquamarine B Third,125
"['106118013', '106118043']",Aquamarine B Third,124
"['103118034', '112118006']",Aquamarine A Third,153
"['102118044', '110118006']",Aquamarine A Third,152
"['103118017', '107118030']",Aquamarine A Third,150
"['106118054', '106118112']",Aquamarine A Third,151
"['110118017', '110118020']",Aquamarine A Third,149
"['103118067', '108118056']",Aquamarine A Third,148
"['107118045', '110118096']",Aquamarine A Third,147
"['108118070', '114118010']",Aquamarine A Third,146
"['108118039', '114118088']",Aquamarine A Third,145
"['103118022', '103118037']",Aquamarine A Third,144
"['108118098', '111118048']",Aquamarine A Third,143
"['106118027', '106118034']",Aquamarine A Third,142
"['107118072', '110118040']",Aquamarine A Third,141
"['114118003', '114118027']",Aquamarine A Third,140
"['112118045', '114118070']",Aquamarine A Third,139
"['103118051', '112118053']",Aquamarine A Third,138
"['107118094', '108118083']",Aquamarine A Third,137
"['111118096', '114118017']",Aquamarine A Third,136
"['110118030', '114118019']",Zircon C,93
"['102118070', '114118096']",Aquamarine A Third,135
"['111118005', '111118016']",Aquamarine A Third,134
"['106118047', '114118049']",Aquamarine A Third,133
"['112118034', '112118049']",Aquamarine A Third,132
"['108118021', '108118107']",Aquamarine A Third,131
"['112118012', '112118028']",Aquamarine A Third,130
"['103118029', '103118100']",Aquamarine A Third,129
"['107118087', '107118113']",Aquamarine A Third,128
"['107118022', '106118055']",Aquamarine A Third,127
"['111118101', '111118107']",Aquamarine A Third,126
"['108118015', '108118027']",Aquamarine A Third,125
"['102118040', '111118026']",Aquamarine A Third,124
"['114118008', '114118048']",Zircon C,94
"['111118033', '111118039']",Zircon C,95
"['110118083', '111118117']",Zircon C,96
"['111118047', '112118029']",Zircon C,97
"['106118046', '106118093']",Zircon C,99
"['114118090', '114118092']",Zircon C,101
"['114118016', '114118078']",Zircon C,102
"['111118023', '107118051']",Zircon C,103
"['103118089', '112118031']",Zircon C,104
"['114118029', '114118071']",Zircon C,105
"['103118079', '108118035']",Zircon C,106
"['112118011', '112118042']",Zircon C,107
"['107118012', '107118035']",Zircon C,108
"['106118084', '108118018']",Zircon C,109
"['110118033', '110118058']",Zircon C,110
"['102118059', '108118080']",Zircon C,111
"['111118043', '111118063']",Zircon C,112
"['107118007', '107118090']",Zircon C,113
"['108118025', '110118038']",Zircon C,114
"['112118009', '112118016']",Zircon C,115
"['102118026', '102118043']",Zircon C,116
"['102118023', '112118015']",Zircon C,117
"['101118039', '101118049']",Zircon C,118
"['106118118', '112118059']",Zircon C,119
"['106118097', '107118058']",Zircon C,120
"['111118071', '111118119']",Zircon C,121
"['106118031', '110118024']",Zircon C,1
"['103118069', '111118014']",Zircon C,9
"['110118054', '111118050']",Zircon C,10
"['110118028', '111118079']",Zircon C,11
"['102118013', '114118026']",Zircon C,19
"['103118080', '106118058']",Zircon C,26
"['108118012', '108118041']",Zircon C,35
"['111118034', '111118018']",Zircon C,37
